Email	Name	AYTerm	MainRole
Aisha@smu.edu.sg	ADMVS	2013_2	Project Manager
Anabel@smu.edu.sg	ADMVS	2013_2	Creative Designer
Elena@smu.edu.sg	ADMVS	2013_2	Quality Assurance
Jesus@smu.edu.sg	ADMVS	2013_2	System Architect
Harry@smu.edu.sg	ADMVS	2013_2	Chief Engineer
Alejandra@smu.edu.sg	AHI	2013_2	Project Manager
Angeline@smu.edu.sg	AHI	2013_2	Creative Designer
Joelle@smu.edu.sg	AHI	2013_2	Quality Assurance
John@smu.edu.sg	AHI	2013_2	System Architect
Howard@smu.edu.sg	AHI	2013_2	Chief Engineer
Abril@smu.edu.sg	AIAL	2013_1	Project Manager
Amaya@smu.edu.sg	AIAL	2013_1	Creative Designer
Dulce@smu.edu.sg	AIAL	2013_1	Quality Assurance
Jeffery@smu.edu.sg	AIAL	2013_1	System Architect
Kaiden@smu.edu.sg	AIAL	2013_1	Chief Engineer
Alexus@smu.edu.sg	AL	2014_1	Project Manager
Allyson@smu.edu.sg	AL	2014_2	Creative Designer
Anna@smu.edu.sg	AL	2014_1	Quality Assurance
Destiney@smu.edu.sg	AL	2014_2	System Architect
Journey@smu.edu.sg	AL	2014_1	Chief Engineer
Kaila@smu.edu.sg	AL	2014_2	Project Manager
Jordan@smu.edu.sg	FBS	2013_1	Test Engineer
Julian@smu.edu.sg	AL	2014_2	Quality Assurance
Irvin@smu.edu.sg	AL	2014_1	System Architect
Marcelo@smu.edu.sg	AL	2014_2	Chief Engineer
Alondra@smu.edu.sg	AMEXL2	2014_2	Project Manager
Devin@smu.edu.sg	AMEXL2	2014_2	Creative Designer
Jayden@smu.edu.sg	AMEXL2	2014_2	Quality Assurance
Julius@smu.edu.sg	AMEXL2	2014_2	System Architect
Marcus@smu.edu.sg	AMEXL2	2014_2	Chief Engineer
Addison@smu.edu.sg	AXAL	2013_1	Project Manager
Amber@smu.edu.sg	AXAL	2013_1	Creative Designer
Dylan@smu.edu.sg	AXAL	2013_1	Quality Assurance
Jeffrey@smu.edu.sg	AXAL	2013_1	System Architect
Kale@smu.edu.sg	AXAL	2013_1	Chief Engineer
Aleah@smu.edu.sg	BDI	2013_2	Project Manager
Angelina@smu.edu.sg	BDI	2013_2	Creative Designer
Jocelyn@smu.edu.sg	BDI	2013_2	Quality Assurance
Johan@smu.edu.sg	BDI	2013_2	System Architect
Houston@smu.edu.sg	BDI	2013_2	Chief Engineer
Aliyah@smu.edu.sg	BL	2014_2	Project Manager
April@smu.edu.sg	BL	2014_2	Creative Designer
Justice@smu.edu.sg	BL	2014_2	Quality Assurance
Jovan@smu.edu.sg	BL	2014_2	System Architect
Malakai@smu.edu.sg	BL	2014_2	Chief Engineer
Alaina@smu.edu.sg	BOCL	2013_2	Project Manager
Anaya@smu.edu.sg	BOCL	2013_2	Creative Designer
Elise@smu.edu.sg	BOCL	2013_2	Quality Assurance
Joan@smu.edu.sg	BOCL	2013_2	System Architect
Hector@smu.edu.sg	BOCL	2013_2	Chief Engineer
Abbey@smu.edu.sg	BP	2013_1	Project Manager
Alivia@smu.edu.sg	BP	2014_2	Creative Designer
Alysha@smu.edu.sg	BP	2013_1	Quality Assurance
Antonia@smu.edu.sg	BP	2014_2	System Architect
Diamond@smu.edu.sg	BP	2013_1	Chief Engineer
Juliette@smu.edu.sg	BP	2014_2	Project Manager
Jaylen@smu.edu.sg	BP	2013_1	Creative Designer
Josiah@smu.edu.sg	BP	2014_2	Quality Assurance
Justin@smu.edu.sg	BP	2013_1	System Architect
Luke@smu.edu.sg	BP	2014_2	Chief Engineer
Aja@smu.edu.sg	CAT	2013_2	Project Manager
Anais@smu.edu.sg	CAT	2013_2	Creative Designer
Elisa@smu.edu.sg	CAT	2013_2	Quality Assurance
Jevon@smu.edu.sg	CAT	2013_2	System Architect
Hayden@smu.edu.sg	CAT	2013_2	Chief Engineer
Alice@smu.edu.sg	CI	2014_1	Project Manager
Annabelle@smu.edu.sg	CI	2014_1	Creative Designer
Judith@smu.edu.sg	CI	2014_1	Quality Assurance
Jordy@smu.edu.sg	CI	2014_1	System Architect
Isaak@smu.edu.sg	CI	2014_1	Chief Engineer
Alanna@smu.edu.sg	CIMBL2	2013_2	Project Manager
Angela@smu.edu.sg	CIMBL2	2013_2	Creative Designer
Joana@smu.edu.sg	CIMBL2	2013_2	Quality Assurance
Joel@smu.edu.sg	CIMBL2	2013_2	System Architect
Heriberto@smu.edu.sg	CIMBL2	2013_2	Chief Engineer
Alisa@smu.edu.sg	CSI	2014_1	Project Manager
Annette@smu.edu.sg	CSI	2014_1	Creative Designer
Julianna@smu.edu.sg	CSI	2014_1	Quality Assurance
Josef@smu.edu.sg	CSI	2014_1	System Architect
Lucas@smu.edu.sg	CSI	2014_1	Chief Engineer
Alexandria@smu.edu.sg	DBSL	2014_1	Project Manager
Aniyah@smu.edu.sg	DBSL	2014_1	Creative Designer
Josephine@smu.edu.sg	DBSL	2014_1	Quality Assurance
Jonatan@smu.edu.sg	DBSL	2014_1	System Architect
Ibrahim@smu.edu.sg	DBSL	2014_1	Chief Engineer
Allison@smu.edu.sg	DL	2014_2	Project Manager
Desiree@smu.edu.sg	DL	2014_2	Creative Designer
Kaelyn@smu.edu.sg	DL	2014_2	Quality Assurance
Judah@smu.edu.sg	DL	2014_2	System Architect
Marc@smu.edu.sg	DL	2014_2	Chief Engineer
Ainsley@smu.edu.sg	FBICSP2013	2013_2	Project Manager
Ana@smu.edu.sg	FBICSP2013	2013_2	Creative Designer
Eleanor@smu.edu.sg	FBICSP2013	2013_2	Quality Assurance
Jessie@smu.edu.sg	FBICSP2013	2013_2	System Architect
Karson@smu.edu.sg	FBICSP2013	2013_2	Chief Engineer
Aliya@smu.edu.sg	FBICSP2014	2014_2	Project Manager
Anya@smu.edu.sg	FBICSP2014	2014_2	Creative Designer
Julissa@smu.edu.sg	FBICSP2014	2014_2	Quality Assurance
Josue@smu.edu.sg	FBICSP2014	2014_2	System Architect
Malachi@smu.edu.sg	FBICSP2014	2014_2	Chief Engineer
Abagail@smu.edu.sg	FBS	2013_1	Project Manager
Alysa@smu.edu.sg	FBS	2013_1	Creative Designer
Devyn@smu.edu.sg	FBS	2013_1	Quality Assurance
Jaylan@smu.edu.sg	FBS	2013_1	System Architect
Justice@smu.edu.sg	FBS	2013_1	Chief Engineer
Alana@smu.edu.sg	GEL	2013_2	Project Manager
Andrea@smu.edu.sg	GEL	2013_2	Creative Designer
Elissa@smu.edu.sg	GEL	2013_2	Quality Assurance
Joaquin@smu.edu.sg	GEL	2013_2	System Architect
Henry@smu.edu.sg	GEL	2013_2	Chief Engineer
Adeline@smu.edu.sg	GI	2013_1	Project Manager
Amelia@smu.edu.sg	GI	2013_1	Creative Designer
Ebony@smu.edu.sg	GI	2013_1	Quality Assurance
Jeremiah@smu.edu.sg	GI	2013_1	System Architect
Kaleb@smu.edu.sg	GI	2013_1	Chief Engineer
Aiyana@smu.edu.sg	GWP	2013_2	Project Manager
Anahi@smu.edu.sg	GWP	2013_2	Creative Designer
Eliana@smu.edu.sg	GWP	2013_2	Quality Assurance
Jett@smu.edu.sg	GWP	2013_2	System Architect
Hassan@smu.edu.sg	GWP	2013_2	Chief Engineer
Aileen@smu.edu.sg	HIIAT	2013_2	Project Manager
Amy@smu.edu.sg	HIIAT	2013_2	Creative Designer
Elaina@smu.edu.sg	HIIAT	2013_2	Quality Assurance
Jerry@smu.edu.sg	HIIAT	2013_2	System Architect
Kareem@smu.edu.sg	HIIAT	2013_2	Chief Engineer
Aliza@smu.edu.sg	HSBCL	2014_2	Project Manager
Denise@smu.edu.sg	HSBCL	2014_2	Creative Designer
Justine@smu.edu.sg	HSBCL	2014_2	Quality Assurance
